numero_uai;nature_uai;ministere_tutelle;ministere_tutelle_libe;tutelle_2;tutelle_2_libe;secteur_public_prive;niveau_uai;niveau_uai_libe;commune;commune_libe;denomination_principale;patronyme_uai;numero_siren_siret_uai;date_ouverture;date_fermeture;lieu_dit_uai;adresse_uai;boite_postale_uai;code_postal_uai;localite_acheminement_uai
0332709R;600;03;ministère de l'agriculture;6;ministère de l'éducation nationale;PU;2;UAI mère;33056;Blanquefort;CTR FORMATION APPRENTIS AGRIC.;DE LA GIRONDE;19331424200044;30926;;;84 avenue du Général de Gaulle;BP113;33294;BLANQUEFORT CEDEX
0332813D;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;33063;Bordeaux;CTR DE FORMATION D APPRENTIS;CAMPUS DU LAC;41058110200010;32387;;;10 rue René Cassin;CS31996;33100;BORDEAUX
0332814E;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;33075;Bruges;CTR DE FORMATION D APPRENTIS;DE L'INDUSTRIE AQUITAINE;78184307300029;32752;;;40 rue MARYSE BASTIE;BP75;33523;BRUGES CEDEX
0332882D;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;33063;Bordeaux;CTR DE FORMATION D APPRENTIS;COMPAGNONS DU DEVOIR;77566202600167;34578;;;76 rue LAROCHE;;33001;BORDEAUX CEDEX
0332981L;600;03;ministère de l'agriculture;6;ministère de l'éducation nationale;PR;1;UAI célibataire;33013;Artigues-près-Bordeaux;CTR FORMATION APPRENTIS AGRIC;;53240398700029;35674;;;23 AVENUE DU MIRAIL;;33370;ARTIGUES PRES BORDEAUX
0333000G;610;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;33318;Pessac;CTR DE FORMATION D APPRENTIS;PROPRETE DE L'INHNI;80211860400122;36039;;;15 allée ALICE HELIODORE GALIENN;;33600;PESSAC
0333034U;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;33063;Bordeaux;CTR DE FORMATION D APPRENTIS;BANQUE FINANCE;77567554900544;36770;;;10 quai DE PALUDATE HALLE B;;33000;BORDEAUX
0333114F;610;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;33039;Bègles;CTR DE FORMATION D APPRENTIS;FORMAPOSTE MIDI ATLANTIQUE;45200962400035;38231;;;2 rue MARC SANGNIER;;33130;BEGLES
0333123R;610;06;ministère de l'éducation nationale;;;PR;2;UAI mère;33522;Talence;CTR DE FORMATION D APPRENTIS;IFRIA NOUVELLE AQUITAINE;45019707400039;38231;;;37 avenue DU DR ALBERT SCHWEITZE;CS80013;33403;TALENCE CEDEX
0333130Y;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;33013;Artigues-près-Bordeaux;CTR DE FORMATION D APPRENTIS;DE LA MPS METIERS DE L'ENVIRON;81910693100010;38596;;;24 avenue DE VIRECOURT;;33370;ARTIGUES PRES BORDEAUX
0333131Z;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;33351;Reignac;CTR DE FORMATION D APPRENTIS;ASS DEVELOP APPRENTIS INDUST A;35109084000056;38596;;;3 voie LE GRAND VERGER;;33860;REIGNAC
0333135D;600;06;ministère de l'éducation nationale;32;ministère de la jeunesse et des sports;PU;2;UAI mère;33522;Talence;CTR DE FORMATION D APPRENTIS;SPORT ANIMATION NOUVELLE AQUIT;47927271800020;38596;;;2 avenue DE L'UNIVERSITE;;33400;TALENCE
0333157C;600;06;ministère de l'éducation nationale;38;ministère de l'enseignement supérieur, de la recherche et de l'innovation;PU;1;UAI célibataire;33063;Bordeaux;CFA METIERS DU LIVRE;MICHEL MONTAIGNE BORDX III;19331766600306;38961;;;1 rue JACQUES ELLUL;;33080;BORDEAUX CEDEX
0333199Y;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;33063;Bordeaux;C.F.A;ASPECT AQUITAINE;43187216700017;39692;;;54 boulevard GODARD;;33300;BORDEAUX
0333200Z;600;06;ministère de l'éducation nationale;35;ministère de la santé et de la solidarité nationale;PR;1;UAI célibataire;33063;Bordeaux;C.F.A GPFHP;GRPT PROF FORMAT HOSP PRIV REG;50784740800014;39692;;;5  TERRASSE FRONT DU MEDOC;;33000;BORDEAUX
0333204D;610;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;33063;Bordeaux;CFA LEEM APPRENTIS AQUITAINE;UNIVERSITE BORDEAUX SEGALEN;13001835100226;39692;;;146  RUE LEO SAIGNAT;;33076;BORDEAUX CEDEX
0333288V;600;06;ministère de l'éducation nationale;;;PU;1;UAI célibataire;33063;Bordeaux;CTR DE FORMATION D APPRENTIS;A.F.P.A AQUITAINE;82422814201593;41153;;;22 rue Alfred de Vigny;;33200;BORDEAUX
0333319D;600;06;ministère de l'éducation nationale;36;ministère du travail, de l'emploi et de la formation professionnelle;PR;1;UAI célibataire;33281;Mérignac;CFA DU NUMERIQUE;;80365618000020;41883;;;4 avenue NEIL AMSTRONG;;33700;MERIGNAC
0333335W;600;06;ministère de l'éducation nationale;;;PU;3;UAI fille;33249;Lormont;CTR DE FORMATION D APPRENTIS;DUCRETET AQUITAINE;19332441500028;41883;;;1 rue JEAN LURCAT;BP30;33305;LORMONT CEDEX
0333400S;600;06;ministère de l'éducation nationale;;;PU;2;UAI mère;33522;Talence;CENTRE DE FORMATION D'APPRENTI;UNIVERSITE DE BORDEAUX;13001835100374;43100;;;Cours de la Libération;;33405;TALENCE CEDEX
0341024D;600;06;ministère de l'éducation nationale;;;PU;1;UAI célibataire;34301;Sète;CTR DE FORMATION D APPRENTIS;NICOLAS ALBANO;21340301700303;25228;;;RUE MIRABEAU;;34200;SETE
0341493N;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;34172;Montpellier;CTR DE FORMATION D APPRENTIS;BTP HERAULT;51472700700056;28369;;;375  RUE EMILE PICARD;BP7285;34086;MONTPELLIER CEDEX 4
0341495R;600;06;ministère de l'éducation nationale;;;PU;3;UAI fille;34172;Montpellier;CTR DE FORMATION D APPRENTIS;EDUCATION NATIONALE HERAULT;19340042100049;27506;;;717  AVENUE JEAN MERMOZ;CS29007;34060;MONTPELLIER CEDEX 2
0341621C;600;03;ministère de l'agriculture;;;PU;4;UAI mère et fille;34172;Montpellier;CTR FORMATION APPRENTIS AGRIC;DE L'HERAULT;19340128800066;36770;;;921  AVENUE AGROPOLIS;;34093;MONTPELLIER CEDEX 5
0341883M;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;34172;Montpellier;CTR DE FORMATION D APPRENTIS;DIFCAM BANQUE ET ASSURANCES LR;;33878;;;99  PLACE EUGENE BATAILLON;;34095;MONTPELLIER CEDEX 5
0341919B;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;34022;Baillargues;CTR DE FORMATION D APPRENTIS;INDUSTRIE LANGUEDOC ROUSSILLON;52985396200023;34688;;BAILLARGUES;14  RUE FRANCOIS PERROUX;CS90028;34748;VENDARGUES CEDEX
